,Effective Date,Local Code,Name (English),Name (Japanese),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series)
812,20210331,3003,"Hulic Co.,Ltd.",ヒューリック,First Section (Domestic),8050,Real Estate,17,REAL ESTATE ,4,TOPIX Mid400
826,20210331,3038,"KOBE BUSSAN CO.,LTD.",神戸物産,First Section (Domestic),6050,Wholesale Trade,13,COMMERCIAL & WHOLESALE TRADE ,4,TOPIX Mid400
840,20210331,3064,"MonotaRO Co.,Ltd.",ＭｏｎｏｔａＲＯ,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
856,20210331,3086,"J.FRONT RETAILING Co.,Ltd.",Ｊ．フロント　リテイリング,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
858,20210331,3088,"Matsumotokiyoshi Holdings Co.,Ltd.",マツモトキヨシホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
861,20210331,3092,"ZOZO,Inc.",ＺＯＺＯ,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
867,20210331,3099,Isetan Mitsukoshi Holdings Ltd.,三越伊勢丹ホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
868,20210331,3101,"TOYOBO CO.,LTD.",東洋紡,First Section (Domestic),3100,Textiles and Apparels,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
871,20210331,3105,Nisshinbo Holdings Inc.,日清紡ホールディングス,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
878,20210331,3116,TOYOTA BOSHOKU CORPORATION,トヨタ紡織,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
