Date,6758.T,7203.T,9984.T,^N225,average
2018-02-08,10000,19852.804788144116,10000,10000.0,12463.201197036029
2018-02-09,10000,19852.804788144116,10000,10000.0,12463.201197036029
2018-02-12,10000,19852.804788144116,10000,,13284.268262714706
2018-02-13,10000,19466.802651278857,10000,10000.0,12366.700662819714
2018-02-14,10000,21522.623030586474,10000,10000.0,12880.655757646618
2018-02-15,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-02-16,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-02-19,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-02-20,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-02-21,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-02-22,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-02-23,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-02-26,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-02-27,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-02-28,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-03-01,10000,23618.70389767482,10000,10000.0,13404.675974418704
2018-03-02,10000,23210.470884624756,10000,10000.0,13302.617721156188
2018-03-05,10000,22775.68304137523,10000,10000.0,13193.920760343808
2018-03-06,10000,24565.016453981705,10000,10000.0,13641.254113495426
2018-03-07,10000,25173.609235766493,10000,10000.0,13793.402308941622
2018-03-08,10000,25462.60174305142,10000,10000.0,13865.650435762855
2018-03-09,10000,25056.91697761583,10000,10000.0,13764.229244403958
2018-03-12,10000,25761.97011202307,10000,10000.0,13940.492528005769
2018-03-13,10000,25034.20692861548,10000,10000.0,13758.55173215387
2018-03-14,10000,25034.20692861548,10000,10000.0,13758.55173215387
2018-03-15,10000,25034.20692861548,10000,10000.0,13758.55173215387
2018-03-16,10000,25034.20692861548,10000,10000.0,13758.55173215387
2018-03-19,10000,25034.20692861548,10000,10000.0,13758.55173215387
2018-03-20,10000,25034.20692861548,10000,10000.0,13758.55173215387
2018-03-21,10000,25034.20692861548,10000,,15011.402309538493
2018-03-22,10000,25034.20692861548,10000,10000.0,13758.55173215387
2018-03-23,10000,39379.39864390646,10000,10000.0,17344.849660976615
2018-03-26,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-03-27,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-03-28,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-03-29,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-03-30,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-02,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-03,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-04,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-05,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-06,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-09,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-10,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-11,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-12,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-13,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-16,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-17,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-18,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-19,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-20,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-23,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-24,10000,51020.63860131675,10000,10000.0,20255.159650329188
2018-04-25,10000,51020.63860131675,10000,10000.0,20255.159650329188
