Date,Open,High,Low,Close,predict,isbuy
2018-05-21,22937.580078125,23050.390625,22935.310546875,23002.369140625,0.5075297526219882,True
2018-05-22,23025.94921875,23031.669921875,22952.869140625,22960.33984375,0.49747511842355824,False
2018-05-23,22868.7890625,22949.73046875,22649.849609375,22689.740234375,0.58282791024822,True
2018-05-24,22621.2890625,22644.689453125,22366.599609375,22437.009765625,0.5040639172994369,True
2018-05-25,22380.220703125,22509.359375,22318.150390625,22450.7890625,0.5116410319693543,True
2018-05-28,22488.94921875,22547.669921875,22410.91015625,22481.08984375,0.3640456001914209,False
2018-05-29,22431.94921875,22439.099609375,22240.390625,22358.4296875,0.47859426552264994,False
2018-05-30,22051.970703125,22079.23046875,21931.650390625,22018.51953125,0.4688444286445481,False
2018-05-31,22163.400390625,22254.419921875,22098.0,22201.8203125,0.4169691260657352,False
2018-06-01,22126.25,22316.91015625,22098.0390625,22171.349609375,0.4805956535118901,False
2018-06-04,22365.08984375,22515.720703125,22355.830078125,22475.939453125,0.5280583594312008,True
2018-06-05,22552.169921875,22602.130859375,22470.0390625,22539.5390625,0.5463037674343014,True
2018-06-06,22520.310546875,22662.8203125,22498.58984375,22625.73046875,0.6183341405559717,True
2018-06-07,22748.720703125,22856.369140625,22732.1796875,22823.259765625,0.5129300463022156,True
2018-06-08,22799.380859375,22879.0,22694.5,22694.5,0.5148760307396132,True
2018-06-11,22686.94921875,22856.080078125,22667.30078125,22804.0390625,0.5213808200442638,True
2018-06-12,22977.220703125,23011.5703125,22797.73046875,22878.349609375,0.5803765908367928,True
2018-06-13,22896.169921875,22993.259765625,22895.310546875,22966.380859375,0.46650435657192696,False
2018-06-14,22842.9609375,22898.390625,22738.609375,22738.609375,0.47557639066804086,False
2018-06-15,22883.240234375,22885.83984375,22770.380859375,22851.75,0.5012754279689854,True
2018-06-18,22806.5703125,22806.890625,22601.130859375,22680.330078125,0.5393276144572924,True
2018-06-19,22565.919921875,22618.51953125,22278.48046875,22278.48046875,0.5642297364723761,True
2018-06-20,22338.529296875,22581.400390625,22167.16015625,22555.4296875,0.5612695491645793,True
2018-06-21,22523.279296875,22782.009765625,22491.080078125,22693.0390625,0.6126754312631361,True
2018-06-22,22456.44921875,22535.650390625,22414.1796875,22516.830078125,0.6070324274172392,True
2018-06-25,22543.560546875,22556.55078125,22312.7890625,22338.150390625,0.5046480251742487,True
2018-06-26,22160.330078125,22368.779296875,22104.119140625,22342.0,0.5627089636649875,True
2018-06-27,22320.880859375,22356.5390625,22205.33984375,22271.76953125,0.5932959768823681,True
2018-06-28,22195.189453125,22299.390625,22038.400390625,22270.390625,0.6116346168350717,True
2018-06-29,22314.470703125,22332.8203125,22145.48046875,22304.509765625,0.5462982592975397,True
2018-07-02,22233.80078125,22312.25,21784.48046875,21811.9296875,0.644763782352136,True
2018-07-03,21889.060546875,21927.810546875,21574.560546875,21785.5390625,0.6210241274295725,True
2018-07-04,21679.0,21784.0,21604.1796875,21717.0390625,0.3720943854294081,False
2018-07-05,21697.439453125,21751.5,21462.94921875,21546.990234375,0.6305577586305516,True
2018-07-06,21647.66015625,21866.16015625,21642.9609375,21788.140625,0.5910136116052647,True
2018-07-09,21838.529296875,22105.94921875,21825.759765625,22052.1796875,0.6197724022611035,True
2018-07-10,22215.33984375,22321.599609375,22196.890625,22196.890625,0.567175022844186,True
2018-07-11,22002.140625,22044.619140625,21744.25,21932.2109375,0.5908234510580236,True
2018-07-12,22036.869140625,22233.51953125,22019.189453125,22187.9609375,0.6324858633998275,True
2018-07-13,22397.619140625,22692.859375,22316.51953125,22597.349609375,0.597614201464853,True
2018-07-16,22397.619140625,22692.859375,22316.51953125,22597.349609375,0.43588161042742884,False
2018-07-17,22605.73046875,22832.220703125,22575.419921875,22697.359375,0.568080798613001,True
2018-07-18,22917.51953125,22949.3203125,22794.189453125,22794.189453125,0.5638330220518314,True
2018-07-19,22871.619140625,22926.470703125,22761.869140625,22764.6796875,0.4861787628436031,False
2018-07-20,22734.560546875,22869.98046875,22541.349609375,22697.880859375,0.48276644798763885,False
2018-07-23,22480.330078125,22507.169921875,22341.869140625,22396.990234375,0.5514854078602757,True
2018-07-24,22555.05078125,22555.05078125,22416.23046875,22510.48046875,0.6055289873152311,True
2018-07-25,22594.279296875,22645.66015625,22547.140625,22614.25,0.5621733448259353,True
2018-07-26,22711.58984375,22717.150390625,22549.76953125,22586.869140625,0.5000787951372304,True
2018-07-27,22646.48046875,22712.75,22593.19921875,22712.75,0.5061608211783052,True
2018-07-30,22613.30078125,22631.3203125,22518.939453125,22544.83984375,0.5571911666346694,True
2018-07-31,22472.119140625,22678.060546875,22352.2109375,22553.720703125,0.48860613944965325,False
2018-08-01,22642.1796875,22775.470703125,22615.98046875,22746.69921875,0.47134051772034796,False
2018-08-02,22676.73046875,22754.73046875,22464.810546875,22512.529296875,0.49440960656528504,False
2018-08-03,22585.5390625,22613.5,22490.5703125,22525.1796875,0.5583735905513333,True
2018-08-06,22536.05078125,22635.6796875,22486.740234375,22507.3203125,0.6059274675894785,True
2018-08-07,22514.310546875,22666.6796875,22499.05078125,22662.740234375,0.6048898015388343,True
2018-08-08,22666.560546875,22800.609375,22610.2890625,22644.310546875,0.5344597581871183,True
2018-08-09,22591.5390625,22648.880859375,22497.990234375,22598.390625,0.5733918221648664,True
2018-08-10,22606.91015625,22608.859375,22272.689453125,22298.080078125,0.5618313184734487,True
2018-08-13,22117.5703125,22124.599609375,21851.3203125,21857.4296875,0.6316163682808273,True
2018-08-14,22053.0703125,22356.080078125,22047.189453125,22356.080078125,0.5850664477857769,True
2018-08-15,22368.119140625,22380.279296875,22110.2890625,22204.220703125,0.5490590153485452,True
